avg_received_packets,avg_steps_for_arrival,success_rate,avg_hop
4.161842105263158,6.3,1.0,2.1
4.515263157894736,6.221052631578948,1.0,2.0736842105263156
3.5894736842105264,7.089473684210526,1.0,2.363157894736842
4.533157894736842,6.205263157894737,1.0,2.068421052631579
3.9402631578947367,6.473684210526316,1.0,2.1578947368421053
3.147894736842105,7.610526315789474,1.0,2.536842105263158
3.856315789473684,6.521052631578947,1.0,2.1736842105263157
2.871578947368421,8.652631578947368,1.0,2.8842105263157896
3.8836842105263156,6.757894736842105,1.0,2.2526315789473683
3.4244736842105263,7.121052631578947,1.0,2.373684210526316
4.705263157894737,5.889473684210526,1.0,1.9631578947368422
3.951842105263158,6.58421052631579,1.0,2.194736842105263
3.430263157894737,7.4526315789473685,1.0,2.4842105263157896
3.68,7.468421052631579,1.0,2.4894736842105263
3.593947368421053,6.852631578947369,1.0,2.2842105263157895
3.8707894736842103,6.8052631578947365,1.0,2.268421052631579
4.2036842105263155,6.426315789473684,1.0,2.142105263157895
2.828157894736842,7.926315789473684,1.0,2.642105263157895
3.935263157894737,6.378947368421053,1.0,2.126315789473684
4.1557894736842105,6.363157894736842,1.0,2.1210526315789475
4.563157894736842,6.3,1.0,2.1
3.32,7.594736842105263,1.0,2.531578947368421
3.6942105263157896,6.821052631578947,1.0,2.2736842105263158
3.359736842105263,7.878947368421053,1.0,2.626315789473684
3.296578947368421,7.484210526315789,1.0,2.4947368421052634
5.256842105263158,5.463157894736842,1.0,1.8210526315789475
3.373157894736842,7.657894736842105,1.0,2.5526315789473686
3.873421052631579,6.568421052631579,1.0,2.1894736842105265
4.056052631578948,6.6,1.0,2.2
4.414736842105263,6.410526315789474,1.0,2.136842105263158
4.052368421052631,6.678947368421053,1.0,2.2263157894736842
3.7826315789473686,6.91578947368421,1.0,2.305263157894737
3.7936842105263158,6.773684210526316,1.0,2.2578947368421054
4.703157894736842,5.936842105263158,1.0,1.9789473684210526
3.9671052631578947,6.631578947368421,1.0,2.210526315789474
3.7710526315789474,6.91578947368421,1.0,2.305263157894737
3.3376315789473683,8.08421052631579,1.0,2.694736842105263
3.3073684210526317,7.3578947368421055,1.0,2.4526315789473685
4.397368421052631,6.347368421052631,1.0,2.1157894736842104
